USERNAME,ABOUT
Maxim Indzeikin,None
Dinamite Criativa,We are a specialized design studio with clients in 13 countries. We have 8 years in the market and a new challenge is always welcome.
kiki one,None
INVO Team,None
Alex Grimm,None
Alena Solonnikova,None
Parves Ahamad,None
Артем Щербань,None
Yulia Stepanova,"Based in Moscow, work world wide.For projects: ustepanova@yandex.ru"
Yana Makshinova,Hey there!My name is Yana Makshinova.I'm a designer based in Moscow.contact – liveymmv@gmail.com
Yujin Baglasov,None
Kirill Sukhov,"I'm ui & Interactive designer based in Moscow. I love clever ideas, new technologies and good people "
Wiki Design,E-mail:  w.samoilovska@gmail.com 
Uliana Anikeeva,None
Ruslan Khuziakhmetov,None
Кристина Стэнс,None
Ekaterina Potapenko,"Hey! Nice to meet you, my name is Kate. I'm a UX/UI designer from Belarus. Excited about creating and consuming neat, beautiful and user-friendly design. Always trying to keep myself responsible and organized, always care about the details, always thirsty for new ideas and opportunities.Looking forward any pro&#8230; <span class='variable-text-link fake-link'> Read More</span></div><div class='variable-text variable-text-full hide'>Hey! Nice to meet you, my name is Kate. I'm a UX/UI designer from Belarus. Excited about creating and consuming neat, beautiful and user-friendly design. Always trying to keep myself responsible and organized, always care about the details, always thirsty for new ideas and opportunities.Looking forward any professional cooperation and feedback. <span class='variable-text-link fake-link'> Read Less</span></div>"
Dmitry Sosnov,"Привет! Меня зовут Дмитрий Соснов, я — web-дизайнер. Компетенции:Разработка сайтов (веб-дизайн и верстка на платформе Tilda Publishing). Делаю дизайн сайтов в Figma,  верстка на Тильде (стандартные и Зеро блоки)."
Dmitry Alexeenko,email: digitaldesproject@gmail.comAn adherent of convenience and minimalism. A product has been created that will appeal to your users.• UX/UI-design• Promo• Social media design• Advertising• Banners
Kirill Aleksandrovitch,None
TK Tuba,"TK Tuba Knows first-hand the overwhelm and frustration of creating a website.For the past five years, she has created some fantastic minimalistic modern Eye-catchy websites for her clients to beat their competitors. TK Tuba graduated from Northwestern University in Khulna with a degree in Computer Science and &#8230; <span class='variable-text-link fake-link'> Read More</span></div><div class='variable-text variable-text-full hide'>TK Tuba Knows first-hand the overwhelm and frustration of creating a website.For the past five years, she has created some fantastic minimalistic modern Eye-catchy websites for her clients to beat their competitors. TK Tuba graduated from Northwestern University in Khulna with a degree in Computer Science and Engineering.TK Tuba has her own company where she works with her clients, helping them build a perfect website that can boost their business.She is most active on her Facebook profile, where she publishes her completedprojects.She can also build a website from scratch using CSS,HTML, javascript,laravel, PHP.As a freelancer Completed 215+ Projects of 25 country's 82 client's at various marketplaces since 2016.Former Top Rated Web Developer & Lead expert @ Upwork (Level-2 seller) Fiverr, People Per Hour.Trained 50+ freelancers & They earned from various marketplaces.Write continuously great freelancing/fiverr/upwork /web /wordpress/ lead blogs for Expertise / Skill Sets.TK Tuba Expert in:---------------------------------WordPress & WooCommerce ECommerce & ShopifyBootstrap coded responsive PSD to HTML/BootstrapCustom Javascript designed custom pluginJquery Plugin integrationWiX & SquareSpacePSD TO HTML/ HTML TO WordPressHTML, CSS. BOOTSTRAP, JAVASCRIPT, JQUERY, WordPress Bug/ Error Fixing.Digital Marketing & Social Media Marketer(SMM)Google ads, Facebook ads, ecommerce marketing & Search Engine Marketing(SEM)Search Engine Optimisation (SEO), On page SEO & Off page SEO Affiliate Marketer & Amazon Affiliate ECommerce & Dropshipping  Website Maintenance & Website Optimization Website speed increase & SEO Virtual Assistant/ Web Researcher/ Data Entry Contact Me-------------------------email: tktuba29@gmail.comWebsite: www.TKTuba.comFacebook: https://www.facebook.com/TK-Tuba-105276038703632 <span class='variable-text-link fake-link'> Read Less</span></div>"
Vasilije Dragicevic,None
Outer Studio,"Creative design studio for UX/UI, Branding, Design & Development demands. Outer Studio focuses on helping establish brands, connecting them with their audiences and giving depth to their identity. Available for new projects at hello@outer.studio"
Stas Aristov,None
MRN Shakib,"Intro & Achievements ==============Hello, I am mrnshakib. I'm a web developer living in Chittagong, Bangladesh. I am a fan of web development, web design and Lead Generator.I am extremely Passionate about accepting challenges in the Marketing world. I have been providing services for a long time on the Websit&#8230; <span class='variable-text-link fake-link'> Read More</span></div><div class='variable-text variable-text-full hide'>Intro & Achievements ==============Hello, I am mrnshakib. I'm a web developer living in Chittagong, Bangladesh. I am a fan of web development, web design and Lead Generator.I am extremely Passionate about accepting challenges in the Marketing world. I have been providing services for a long time on the Website development sector particularly in YouTube Marketing, Link Building, Classified Ads Posting and so on for E-commerce and Dropshipping Business. Moreover, I am an expert on Website with Elementor and Shopify Store creation with Dropshipping product research. I am able to work with full responsibility. My paramount priority is to satisfy my clients with quality work & friendly customer support. website www.mrnshakib.comThanks Expertise: ======Skill Set (Web & WordPress/ Front & Backend Expertise)============================== ☛ Custom Web/ Software using Laravel Framework   ☛ WordPress theme development & customization ☛ WordPress plugin development & customization ☛ Personal/Business Website using wordpress ☛ Bootstrap coded responsive PSD to HTML/Bootstrap ☛ Custom Javascript designed custom plugin  ☛ Jquery Plugin integration  ☛ Landing Page/ Lead pages ✎ Mailer Lite/Mailchimp/ Aweber/ Get Response Email Template/Campaign✎  Login Registration Form, Sign in- SignUp Page Creation.☛ Contact US Form/ Social Button & social sharing, Auto Responder/ facebook pixel.✎ Maintain your site for 6 months, follow up malware, speed & content edit issues.✎ Create a Responsive business website using Bootstrap grid system ☛ eCommerce/woocommerce Website ☛ Website speed increase & SEO ☛ Payment gateway - Paypal & Stripe Integration & FB Pixel ☛ Sign up, Member & Social Sharing Features  ☛ Zoominfo Pro & Email Finding ☛ Lead Generation/ Virtual Assistant/ Web Researcher/ Data Entry Expert ☛ Signup & Pop Up Form  ☛ Mailchimp - Zaiper & Zoho Automation ☛ Mailchimp - Subscriber pop up & automation & woo automation ☛ By Mailchimp - order notify mail/ invoice/ refind/ abandoned cart mail/ product target template ☛ Get Response & Aweber ☛ Web & WordPress Expertise to Create any web sites and web applications ☛ Shopify Store design & Premium Theme Customisation ☛ Shopify Product upload & customise / Domain Transfer(Shopify to domain) ☛ Shopify & Aliexpress Dropship & Import product by Oberlo app ☛ Shopify Sales Channel & Apps Customize ☛ Shopify SEO & Speed Up & Backup-Migration ☛ Click Bank Affiliate Marketing ☛ Click Funnels/ Upsell / Lead collect/ sales funnels product/service marketing thanks MRN ShakibExpertise On eCommerce & WooCommerce & Shopify=================================➤ Ecommerce Website create ➤ Woocommerce Customization➤ Shopify Store Ctration➤ Product Upload/ Category/ Pricing/ Listing➤ Product mixing/ variations & attributes➤ Product Stock Management➤ Facebook For Woocommerce ➤ Payment gateway integration(Paypal/ stripe/ Mastercard)➤ Mailchimp Woocommerce Automation➤ Check Out Form / Billing Form / Sign up Form➤ Order Notification / Order Invoice Email➤ Product retargeting email template➤ Popup form for subscriber and collect to mailchimp list➤ product page design variations stock management➤ Product image magnifier,  zoom product and coupon➤ Product management and Stock management➤ Countdown timer for sales➤ Offer and sales for promotion ➤ Location based shipping and payment➤ wishlist and compare & add to cart➤ YITH - all premium plugins➤ Google search engine for each of the product keyword➤ Best client finding and offer him best➤ loyal clients finding/  most spending line pending and send offer➤ product attributes and variation tableThanks MRN ShakibWEB & EMAIL MARKETING TOGETHER EXPERTISE=============================➤ Pixel Your Site for product cart/ checkout➤ Yoast SEO Premium for google seo/ webmaster➤ Abandoned cart email from mailchimp➤ Google pagespeed 80%(gTmetrix)➤ brute force attack &  attempt login block➤ hacking protection and malware blocker➤ step verification and password protection with Google recaptcha➤ Google tag manager and Google Analytics for eCommerce➤ Speed Increase eCommerce website ThanksMRN ShakibExpert Lead Generator | Business Emails & Phone Finder | MailChimp Marketing ================================✎ Collecting direct phone number using zoominfo Pro using ZIP /city/ industry✎ Lead generation, Tools:  zoominfo Pro, egrabber.com, leadmine.net, getprospect.io, eToggler, Atomic hunter, Lead Grabber, hunter.io, scrapp.io✎ Collecting email from linkedin profile (“Lead Gibbon”  & “Linkedin Sales Navigator” & “Rapportive” ext)✎ Collecting company address, location, employee size, revenue info  using compstack and buzzfile, salesfores data CRM✎ Get leads from linkedin profile using “Lead Gibbon”  & “Linkedin Sales Navigator” & “Rapportive” ✎ Verifying email I use “rapportive extension”. as well as ii use mailtester.com and “Atomic Verifier”✎ Give you personal email (gmail/yahoo) & direct phone number - by “Rocket Reach” Tools  ✎  Collect data/leads from directories : like manta, compstak and buzzfile, yellowpages, whitepages, yelp database.✎  Find instant unlimited bulk leads by - atomic email hunter/ atomic lead extractor ✎  Send unlimited email templated by : “Atomic email sender”✎  Verify instant unlimited email address & clear bounced email by: “atomic email verifier & never bounce”✎ I have nice web extracting tools, which is Web Content ExtractorThank youMRN Shakib <span class='variable-text-link fake-link'> Read Less</span></div>"
Anna Kulichikhina,"Привет, я Аня и я web ux/ui дизайнер 💡. Помогу реализовать необходимый дизайн для вашего приложения или сайта 💜"
Mukhammad Nurullaev,"Hello, my name is Mukhammad and i am digital designer based in Russia.I'm always open for collaboration and new projectsE-mail: spacelive.company@gmail.comTelegram: https://t.me/mukhammad1985"
MH Rajin,"Intro & Achievements ==================Hello, I am Rajin. I'm a web developer living in Chittagong, Bangladesh. I am a fan of web development, web design and Lead Generator.I am extremely Passionate about accepting challenges in the Marketing world. I have been providing services for a long time on the Websit&#8230; <span class='variable-text-link fake-link'> Read More</span></div><div class='variable-text variable-text-full hide'>Intro & Achievements ==================Hello, I am Rajin. I'm a web developer living in Chittagong, Bangladesh. I am a fan of web development, web design and Lead Generator.I am extremely Passionate about accepting challenges in the Marketing world. I have been providing services for a long time on the Website development sector particularly in YouTube Marketing, Link Building, Classified Ads Posting and so on for E-commerce and Dropshipping Business. Moreover, I am an expert on Website with Elementor and Shopify Store creation with Dropshipping product research. I am able to work with full responsibility. My paramount priority is to satisfy my clients with quality work & friendly customer support.Thanks Expertise::: =========Skill Set (Web & WordPress/ Front & Backend Expertise)====================================== ☛ Custom Web/ Software using Laravel Framework   ☛ WordPress theme development & customization ☛ WordPress plugin development & customization ☛ Personal/Business Website using wordpress ☛ Bootstrap coded responsive PSD to HTML/Bootstrap ☛ Custom Javascript designed custom plugin  ☛ Jquery Plugin integration  ☛ Landing Page/ Lead pages ✎ Mailer Lite/Mailchimp/ Aweber/ Get Response Email Template/Campaign✎  Login Registration Form, Sign in- SignUp Page Creation.☛ Contact US Form/ Social Button & social sharing, Auto Responder/ facebook pixel.✎ Maintain your site for 6 months, follow up malware, speed & content edit issues.✎ Create a Responsive business website using Bootstrap grid system ☛ eCommerce/woocommerce Website ☛ Website speed increase & SEO ☛ Payment gateway - Paypal & Stripe Integration & FB Pixel ☛ Sign up, Member & Social Sharing Features  ☛ Zoominfo Pro & Email Finding ☛ Lead Generation/ Virtual Assistant/ Web Researcher/ Data Entry Expert ☛ Signup & Pop Up Form  ☛ Mailchimp - Zaiper & Zoho Automation ☛ Mailchimp - Subscriber pop up & automation & woo automation ☛ By Mailchimp - order notify mail/ invoice/ refind/ abandoned cart mail/ product target template ☛ Get Response & Aweber ☛ Web & WordPress Expertise to Create any web sites and web applications ☛ Shopify Store design & Premium Theme Customisation ☛ Shopify Product upload & customise / Domain Transfer(Shopify to domain) ☛ Shopify & Aliexpress Dropship & Import product by Oberlo app ☛ Shopify Sales Channel & Apps Customize ☛ Shopify SEO & Speed Up & Backup-Migration ☛ Click Bank Affiliate Marketing ☛ Click Funnels/ Upsell / Lead collect/ sales funnels product/service marketing Expertise On eCommerce & WooCommerce & Shopify==============================================➤ Ecommerce Website create ➤ Woocommerce Customization➤ Shopify Store Ctration➤ Product Upload/ Category/ Pricing/ Listing➤ Product mixing/ variations & attributes➤ Product Stock Management➤ Facebook For Woocommerce ➤ Payment gateway integration(Paypal/ stripe/ Mastercard)➤ Mailchimp Woocommerce Automation➤ Check Out Form / Billing Form / Sign up Form➤ Order Notification / Order Invoice Email➤ Product retargeting email template➤ Popup form for subscriber and collect to mailchimp list➤ product page design variations stock management➤ Product image magnifier,  zoom product and coupon➤ Product management and Stock management➤ Countdown timer for sales➤ Offer and sales for promotion ➤ Location based shipping and payment➤ wishlist and compare & add to cart➤ YITH - all premium plugins➤ Google search engine for each of the product keyword➤ Best client finding and offer him best➤ loyal clients finding/  most spending line pending and send offer➤ product attributes and variation tableWEB & EMAIL MARKETING TOGETHER EXPERTISE=====================================➤ Pixel Your Site for product cart/ checkout➤ Yoast SEO Premium for google seo/ webmaster➤ Abandoned cart email from mailchimp➤ Google pagespeed 80%(gTmetrix)➤ brute force attack &  attempt login block➤ hacking protection and malware blocker➤ step verification and password protection with Google recaptcha➤ Google tag manager and Google Analytics for eCommerce➤ Speed Increase eCommerce website Expert Lead Generator | Business Emails & Phone Finder | MailChimp Marketing ==================================================================✎ Collecting direct phone number using zoominfo Pro using ZIP /city/ industry✎ Lead generation, Tools:  zoominfo Pro, egrabber.com, leadmine.net, getprospect.io, eToggler, Atomic hunter, Lead Grabber, hunter.io, scrapp.io✎ Collecting email from linkedin profile (“Lead Gibbon”  & “Linkedin Sales Navigator” & “Rapportive” ext)✎ Collecting company address, location, employee size, revenue info  using compstack and buzzfile, salesfores data CRM✎ Get leads from linkedin profile using “Lead Gibbon”  & “Linkedin Sales Navigator” & “Rapportive” ✎ Verifying email I use “rapportive extension”. as well as ii use mailtester.com and “Atomic Verifier”✎ Give you personal email (gmail/yahoo) & direct phone number - by “Rocket Reach” Tools  ✎  Collect data/leads from directories : like manta, compstak and buzzfile, yellowpages, whitepages, yelp database.✎  Find instant unlimited bulk leads by - atomic email hunter/ atomic lead extractor ✎  Send unlimited email templated by : “Atomic email sender”✎  Verify instant unlimited email address & clear bounced email by: “atomic email verifier & never bounce”✎ I have nice web extracting tools, which is Web Content Extractor✎ besides, i am an engineer, so i can use some own software.  <span class='variable-text-link fake-link'> Read Less</span></div>"
Arina Varenko,None
Fedor Kharlamov,None
Миша Трюк 😎,None
Ксения Спесивцева,None
Janet Sohn,None
Oleg Kasatkin,None
Nikita Kozlov,None
Nataliia Cherednychenko,Junior UI/UX designer
Friflex Design,None
Sofiya Maslygina,None
Tim Dobrynchenko,None
Ветлугина Алёна,"Hello! Nice to see you on my profile. My name is Helena and I am a Designer. I create visual design for Landing Page, Website (E-commerce), adaptive design, presentations, design for social media. If you like my projects, feel free to contact me."
Rabiul Islam,None
Mahbur Rahaman Milon,None
Евгений Яровой,None
Ilya Fedorenko,"I work worldwide, you can commission me at i@pragmatica.designSubscribe to the channel about sites, solutions and other things: https://t.me/nasmotr "
Damian Kubisiak,None
Aleksandra Evgrafova,None
Locomotive .,None
muhibur rumon,"WordPress developer who loves clean, simple and beautiful code with modern design. I also enjoy programming and architecture of WordPress and solving any kind of problems is my passion. my aim is to work with honesty, safety and timely deliver."
Stan Hristov,"Imagine a world where people wake up every day inspired to go to work, feel safe while they are there, and return home at the end of the day feeling fulfilled by the work they do, feeling that they have contributed to something greater than themselves. This is the world I envision."
Ramotion ✪,"UI/UX design and branding agency specializing in brand identity, mobile apps, and web design for startups and Fortune 500 companies.CLIENTS:Salesforce ($CRM), Netflix ($NFLX), Advance Auto Parts ($AAP), Xero ($XRO), Adobe ($ADBE), Bitmoji (by Snapchat, $SNAP), ITT ($ITT), Opera ($OPERA), Oppo (BBK Electronics),&#8230; <span class='variable-text-link fake-link'> Read More</span></div><div class='variable-text variable-text-full hide'>UI/UX design and branding agency specializing in brand identity, mobile apps, and web design for startups and Fortune 500 companies.CLIENTS:Salesforce ($CRM), Netflix ($NFLX), Advance Auto Parts ($AAP), Xero ($XRO), Adobe ($ADBE), Bitmoji (by Snapchat, $SNAP), ITT ($ITT), Opera ($OPERA), Oppo (BBK Electronics), Mail.ru ($MAIL), Mozilla,  Avast, Tile, and many more. <span class='variable-text-link fake-link'> Read Less</span></div>"
Dtail Studio,"DTAIL is a full-service design studio based in Barcelona. Since 2011, we partner with intelligent companies to strategize, build and grow valuable digital products."
Arkadiy Silver,None
Ekaterina Petrova,"Привет! Меня зовут Катя, я веб-дизайнер. Помогу разработать качественный продукт для дальнейшего развития"
Anna Utenina,None
Girish Tarwatkar,"Execute across all phases of design work: participate in research, define the conceptual foundation for design solutions, execute excellent UX flows, apply visual design systems, prototype using a variety of tools and methods, create production-ready designs, participate or conduct usability testing and support mu&#8230; <span class='variable-text-link fake-link'> Read More</span></div><div class='variable-text variable-text-full hide'>Execute across all phases of design work: participate in research, define the conceptual foundation for design solutions, execute excellent UX flows, apply visual design systems, prototype using a variety of tools and methods, create production-ready designs, participate or conduct usability testing and support multi-disciplinary teams during implementation <span class='variable-text-link fake-link'> Read Less</span></div>"
Vladyslav Sokur,"Hello. I'm a UI/Webflow designer, living in Ukraine. "
Evgenia Ornatskaya,None
Dmitry Coven,None
Анастасия Соколова,None
Роман Семирозум,None
Akash Ahmed,None
Shanto Islam,"Hello, My Self Shanto Islam.Highly motivated & goal-oriented individual seeking to further my knowledge & experience in any way, shape, or form possible. I'm an avid learner quick on my feet & calm under pressure. I'm exceedingly patient & inventive & look for any opportunities available to enhance my Character. &#8230; <span class='variable-text-link fake-link'> Read More</span></div><div class='variable-text variable-text-full hide'>Hello, My Self Shanto Islam.Highly motivated & goal-oriented individual seeking to further my knowledge & experience in any way, shape, or form possible. I'm an avid learner quick on my feet & calm under pressure. I'm exceedingly patient & inventive & look for any opportunities available to enhance my Character. I'm very Professional as a Front End WordPress Web Developer & Graphic Designer. With more than 5 yrs of true experience. Can quickly produce quality work to fulfill any need. Hard-working and communicative. Very passionate love my work!Best/Shanto Islam <span class='variable-text-link fake-link'> Read Less</span></div>"
SdobnovDesign Greg Sdobnov,— Branding— Print design— Packaging Design— 3D visualization— Video Design  — Industrial Design  — Web-designContacts:telegram: +7 904 014 10 06e-mail: 23g03s@gmail.comskype: greg23g03
Mariana Buchkovych,"Hi! I am Lead Designer at Nextpage Agency. I do Art Direction, Project Strategies, UX/UI, Branding.Feel free to contact our team anytime you want+380686486570hello@nextpage.agency"
Aleksandr Maksimov,None
Ema Idiake,"Hi, I'm Ema, I'm starting my way in desing UI/UX "
Bananazz Agency,"🏆 More than 12 Awards💪 5 years in UX/UI design 💪 Specialize in UI/UX Design of Custom Web and Mobile ApplicationsWant to discuss your product idea or partnership? We are always ready to help 👉 bananazz.agency@gmail.comBananzZ — Design Agency from Ukraine 🇺🇦Our team consists of a group of high&#8230; <span class='variable-text-link fake-link'> Read More</span></div><div class='variable-text variable-text-full hide'>🏆 More than 12 Awards💪 5 years in UX/UI design 💪 Specialize in UI/UX Design of Custom Web and Mobile ApplicationsWant to discuss your product idea or partnership? We are always ready to help 👉 bananazz.agency@gmail.comBananzZ — Design Agency from Ukraine 🇺🇦Our team consists of a group of highly creative UX/UI, Graphic and Motion designers. We’re extremely good at everything related to design works:✅ UX/UI design (Promo Websites, E-commerce, Corporate Websites, Dashboards etc.)✅ Mobile App design✅ Logo design✅ Branding <span class='variable-text-link fake-link'> Read Less</span></div>"
Алексей Ермаков,None
Shovon Hossain,None
Aleksandra Pravda,"​Hi! I'm graphic designer and illustrator, create cute & smart illustrations in light airy style and try something new)"
Nataliya Arkhipova,None
Design Line,None
Valeriya Adamovich,None
Наука Дизайна,None
Daría Cherepanova,None
Simon Smaliuk,None
Vilius Vaičius,"User-centered UI/UX Designer and Team Lead for web development projects, with a passion for Animation. I pack over 8 years of experience in design and development of websites and apps. I also have technical knowledge to create great digital products the end user needs."
Nick Ohmy,None
Bradford Fermin,None
Crown Creative,"Crown Creative is a full-service hospitality design agency. We are a studio of designers, writers, artists & strategists passionate about the space where hospitality and design meet. With each brand we create, we integrate aesthetic sensibility with an astute strategic approach through research and an intuitive &#8230; <span class='variable-text-link fake-link'> Read More</span></div><div class='variable-text variable-text-full hide'>Crown Creative is a full-service hospitality design agency. We are a studio of designers, writers, artists & strategists passionate about the space where hospitality and design meet. With each brand we create, we integrate aesthetic sensibility with an astute strategic approach through research and an intuitive finger on the pulse of hospitality and design.   <span class='variable-text-link fake-link'> Read Less</span></div>"
Hrvoje Kraljevic,None
Andrey Safronov,None
Ana Dovnar,I am a website designer.The current level allows me to lead UX/UI digital projects through  the whole pipeline from the conception to release. • landing pages • adaptive/responsive design • E-commercial stores
Katrina Naumova,None
Irina S,None
Kosmina Xenia,None
Back Up Graphic,"Hi, my name is M Chand. I belong to Pakistan ( Faisalabad ).As a graphic designer.  Graphic designers create visual concepts, using computer software or by hand, to communicate ideas that inspire, inform, and captivate consumers.ExperienceI have 3 years of experience in graphic designing about logos, Posters, F&#8230; <span class='variable-text-link fake-link'> Read More</span></div><div class='variable-text variable-text-full hide'>Hi, my name is M Chand. I belong to Pakistan ( Faisalabad ).As a graphic designer.  Graphic designers create visual concepts, using computer software or by hand, to communicate ideas that inspire, inform, and captivate consumers.ExperienceI have 3 years of experience in graphic designing about logos, Posters, Flyers, Business Card, Brochures,s and multiple Designs. Admin TemplatesWordPress TemplatesMiscellaneous TemplatesSite TemplatesLanding Page TemplatesMarketing TemplateseCommerce TemplatesCMS TemplatesEmail Templates <span class='variable-text-link fake-link'> Read Less</span></div>"
Yana Bytsko,"Hello! My name is Yana. I'm a Junior UX/UI Designer. I choose UX/UI Design to make technologies understandable, enjoyable, useful and usable for everyone. We solve many problems in our daily lives, so I’d like my work would make someones’ live easier.SPECIALIZATIONS· UI/UX design· Website design· Mobile Ap&#8230; <span class='variable-text-link fake-link'> Read More</span></div><div class='variable-text variable-text-full hide'>Hello! My name is Yana. I'm a Junior UX/UI Designer. I choose UX/UI Design to make technologies understandable, enjoyable, useful and usable for everyone. We solve many problems in our daily lives, so I’d like my work would make someones’ live easier.SPECIALIZATIONS· UI/UX design· Website design· Mobile App designI'm open to opportunities!bytsko.designer@gmail.com <span class='variable-text-link fake-link'> Read Less</span></div>"
Влад Масляник,None
Sergei Telidchenko,None
Darya Kovalko,None
Амирлан Абдрахманов,None
Artemiy Lebedev,"Design Director at Bolden Ventures. Co-Founder & Design Director at Mative Labs Agency. Jury Member at Awwwards. Verified Artist on KnownOrigin.Stack: Figma, Cinema4D, Webflow, Adobe After Effects, Adobe Photoshop.Render: Redshift, Octane.If u wanna work with me, connect: art.lebedev@yahoo.com"
Mort Production,None
Leonid Bondarenko,None
Oleksii Zorin,Kol4ak.adm@gmail.com
Farhad Ahmed,"Hello there!My name is Farhad Ahmed. Junior, Product Designer. I've been working with Product Design & Web Development for several years. See you my website down below. I'm a User Experience Designer specializing in Shopping (E-Commerce), Communication, News & Online Magazines, Health & Fitness, Medical, Travel,&#8230; <span class='variable-text-link fake-link'> Read More</span></div><div class='variable-text variable-text-full hide'>Hello there!My name is Farhad Ahmed. Junior, Product Designer. I've been working with Product Design & Web Development for several years. See you my website down below. I'm a User Experience Designer specializing in Shopping (E-Commerce), Communication, News & Online Magazines, Health & Fitness, Medical, Travel, Beauty, and Lifestyle, etc. apps & websites Design. I am capable of a wide range of tactical and big-picture design tasks. If you still don't have a clear idea of what you want, I can help you expand your idea so it meets your business and needs.I am basically an application designer (mobile and desktop) and I also work on website design and landing pages (Responsive Website Design). It's important to me to build long-term relationships with clients. My client’s satisfaction is what motivates me most in my work. If you need high-quality design and a responsible approach to work, you're in the right place! I'll make your design honestly & try my best.Thank You. <span class='variable-text-link fake-link'> Read Less</span></div>"
Nathan Bolger,"Hi, I'm Nathan a Digital Designer & Creator currently based in Canggu, Bali.Brands collaborations & features include: Puma, Adobe, 3 Mobile & moreContact:E-mail: nathanbolger@hotmail.comInstagram: @nb_create"
Семён Романюк,None
Juste Navickaite,None
Кристина Дедкова,None
DesignBoat UX/UI School,"We're a design school that teaches UX and UI along with placements for designers. Our goal is to help students by mentoring, training them for their future endeavours in the respective fields and providing jobs."
Helen L,"Hello! My name is Elena. I am UI/UX designer based in Saint-Petersburg. I got my education in programming at ITMO University, so I know how to create a truly working design. At the moment I am studying UI/UX design at UPROCK school.Contact me: helenlworkk@gmail.comTelegram: @alyonapond"
Anastasia Krivonos,"Hello! My name is Anastasia and I'm UX/UI Designer of Web and Mobile interfaces. My work is focused on solving business goals by creating aesthetic, modern and clear designI am always ready for new proposals and will gladly create a design for your project.Contact me:Email: anastassiakrivonos@gmail.com"
Sumaiya Sultana,None
Roman Lel,None
Viktoriia Skalska,None
Galina Zdor,"Здравствуйте. Меня зовут Галина, я графический и веб - дизайнер.  Сделаю все, чтобы ваш бизнес засеял новыми красками. Разработаю для Вас сайт, баннер, логотип,  визитку и фирменный стиль."
Alina M,"Hi, I'm Alina.  I make UX/UI design, identity, illustrations.Connect with me amnotsik@gmail.com"
Arafat Tusher,I am Arafat. I am WordPress Developer . I am working at Sylhet IT Academy. I can convert any file. I can using Elementor Pro make a website
Luis Carvalho,None
Leonid Shipov,None
Dous Studio,We are a graphic design & art direction studio based in Madrid.
Olivier Segers,None
Abdullah Mahmud,"Abdullah Mahmud Knows first-hand the overwhelm and frustration of creating a website.For the past five years, he has created some fantastic minimalistic modern Eye-catchy websites for his clients to beat their competitors.Abdullah Mahmud graduated from Northwestern University in Khulna with a computer science an&#8230; <span class='variable-text-link fake-link'> Read More</span></div><div class='variable-text variable-text-full hide'>Abdullah Mahmud Knows first-hand the overwhelm and frustration of creating a website.For the past five years, he has created some fantastic minimalistic modern Eye-catchy websites for his clients to beat their competitors.Abdullah Mahmud graduated from Northwestern University in Khulna with a computer science and engineering degree.Abdullah Mahmud has his own company where he works with his clients, helping them build a perfect website that can boost their business.He is most active on her Facebook profile, where he publishes his completedprojects.He can also build a website from scratch using CSS, HTML, javascript,laravel, PHP.As a freelancer Completed 215+ Projects of 25 country's 82 clients at various marketplaces since 2016.Former Top Rated Web Developer & Lead expert @ Upwork (Level-2 seller) Fiverr, People Per Hour.Trained 50+ freelancers & They earned from various marketplaces.Write continuously great freelancing/fiverr/upwork /web /wordpress/ lead blogs for Expertise / Skill Sets.Abdullah Mahmud Expert in:---------------------------------WordPress & WooCommerceECommerce & ShopifyBootstrap coded responsive PSD to HTML/BootstrapCustom Javascript designed custom pluginJquery Plugin integrationWiX & SquareSpacePSD TO HTML/ HTML TO WordPressHTML, CSS. BOOTSTRAP, JAVASCRIPT, JQUERY, WordPress Bug/ Error Fixing.Digital Marketing & Social Media Marketer(SMM)Google ads, Facebook ads, ecommerce marketing & Search Engine Marketing(SEM)Search Engine Optimisation (SEO), On page SEO & Off page SEOAffiliate Marketer & Amazon AffiliateECommerce & DropshippingWebsite Maintenance & Website OptimizationWebsite speed increase & SEOVirtual Assistant/ Web Researcher/ Data EntryContact Me---------------------email: info.abdullah.al.mahmud@gmail.comPhone: 8801962009383 (What's app)Website: www.abdullahmahmud.comFacebook: https://www.facebook.com/npjalmahmud <span class='variable-text-link fake-link'> Read Less</span></div>"
Piotr Kaźmierczak,Want to hire me? Contact via mail: hello@prowlingwolves.pl
Maria Frenzy,"Hello!My name is Maria, I am a Web Designer. I make visual design as well as build websites on the platforms as Wix, Tilda, Readymag. I value minimalism and simplicity in my work.  I am open for new proposals and will gladly create design or a full stack website for your project.E-mail: frenzymaria@gmail.com"
Jcookie ✪,None
Sasha Havrilyuk,None
Kiran Lingayya,None
Роман Жегуляев,None
Милена Мышенкова,None
